YEAR,RECORD_TYPE, NUMBER_SCRIPTS ,NDC9,PRODUCT_NDC,LAUNCH_YEAR,NPROPNAME,PROPNAME,GENERIC_DRUG_IND_CODE,THER_CLASS,LABELERNAME,DOSAGE_FORM,ACTIVE_STRENGTH,ACTIVE_STRENGTH_UNIT,PAYER, UNIQUE_MEMBERS ,TOTAL_COST,COST_PER_USER,COST_PER_SCRIPT,COST_PER_DAYS_SUPPLY,COST_PER_UNIT_DISPENSED, TOTAL_SCRIPTS_FILLED , DAYS_SUPPLY_MEDIAN , DAYS_SUPPLY_MEAN , DAYS_SUPPLY_STDDEV , QUANTITY_MEDIAN , QUANTITY_MEAN , QUANTITY_STDDEV ,INSURER_PAID_MEDIAN,INSURER_PAID_MEAN,INSURER_PAID_STDDEV,INSURER_PAID_SUM,MEMBER_PAID_MEDIAN,MEMBER_PAID_MEAN,MEMBER_PAID_STDDEV,MEMBER_PAID_SUM,TOTAL_PAID_MEDIAN,TOTAL_PAID_MEAN,TOTAL_PAID_STDDEV,TOTAL_PAID_SUM
2018,NDC, 11 ,490350590,49035-590,1993,ACETAMINOPHEN,EQ PAIN & FEVER INFANTS,Generic,Analgesics and Anesthetics,WAL-MART,SUSPENSION,160,MG/5ML,Minnesota Health Care Programs, 11 ,$71.70,$6.52,$6.52,$0.90,$0.04, 11 , 7.0 , 7.3 , 3.9 , 177.0 , 180.7 , 86.8 ,$5.71,$6.52,$3.93,$71.70,$0.00,$0.00,$0.00,$0.00,$5.71,$6.52,$3.93,$71.70
2018,NDC, 11 ,000741539,0074-1539,2017,ADALIMUMAB,HUMIRA PEN-PSOR/UVEIT STARTER,Brand,Analgesics and Anesthetics,ABBVIE,PEN-INJECTOR KIT,80 MG/0.8ML &,40MG/0.4ML,Minnesota Health Care Programs, 11 ,"$107,098.12","$9,736.19","$9,736.19",$343.26,"$3,245.40", 11 , 28.0 , 28.4 , 0.8 , 3.0 , 3.0 , -   ,"$9,736.61","$9,666.00",$142.37,"$106,326.00",$0.00,$0.55,$1.21,$6.00,"$9,736.61","$9,736.19",$212.29,"$107,098.12"
2018,NDC, 11 ,082224400,NA,NA,ALCOHOL SWABS,ULTICARE ALCOHOL SWABS,Brand,Miscellaneous Products,ULTIMED,PAD,70,%,Commercial, 11 ,$24.25,$2.20,$2.20,$0.04,$0.02, 11 , 30.0 , 52.5 , 33.2 , 100.0 , 110.4 , 68.0 ,$0.00,$0.82,$1.50,$9.00,$1.39,$1.39,$1.31,$15.25,$1.99,$2.20,$1.24,$24.25
2018,NDC, 11 ,001151333,0115-1333,2013,"AMPHETAMINE,DEXTROAMPHETAMINE",AMPHETAMINE-DEXTROAMPHET ER,Brand,Stimulants/Anti-Obesity/Anorexia,AMNEAL PHARMACEUTICALS,CAPSULE EXTENDED RELEASE 24 HOUR,30,MG,Minnesota Health Care Programs, 11 ,$914.97,$83.18,$83.18,$2.79,$2.79, 11 , 30.0 , 29.8 , 0.6 , 30.0 , 29.8 , 0.6 ,$86.47,$82.36,$9.66,$905.92,$0.00,$0.27,$0.47,$3.00,$86.47,$83.18,$10.22,$914.97
2018,NDC, 11 ,700000102,70000-0102,2016,ASPIRIN,ASPIRIN LOW DOSE ADULT,Brand,Analgesics and Anesthetics,LEADER BRAND PRODUCTS,TABLET CHEWABLE,81,MG,Medicare, 11 ,$27.91,$2.54,$2.54,$0.07,$0.07, 11 , 30.0 , 38.9 , 21.2 , 30.0 , 38.9 , 21.2 ,$1.94,$2.27,$1.15,$24.98,$0.00,$0.27,$0.88,$2.93,$2.86,$2.54,$0.87,$27.91
2018,NDC, 11 ,502220505,50222-505,2002,AZELAIC ACID,FINACEA,Brand,Topical Products,LEO PHARMA INC,GEL,15,%,Medicare, 11 ,"$4,479.48",$407.23,$407.23,$13.21,$6.40, 11 , 29.0 , 30.8 , 20.2 , 50.0 , 63.6 , 32.3 ,$237.25,$298.51,$198.36,"$3,283.66",$101.68,$108.71,$98.72,"$1,195.82",$338.93,$407.23,$200.10,"$4,479.48"
2018,NDC, 11 ,242080785,24208-785,1995,"BACITRACIN,POLY,NEOMYCIN,HC",BACITRA-NEOMYCIN-POLYMYXIN-HC,Generic,Topical Products,BAUSCH HEALTH,OINTMENT,1,%,Minnesota Health Care Programs, 11 ,$677.25,$61.57,$61.57,$7.13,$13.02, 11 , 7.0 , 8.6 , 3.7 , 4.0 , 4.7 , 3.1 ,$42.21,$61.36,$52.24,$674.95,$0.00,$0.09,$0.30,$1.00,$43.03,$61.57,$52.17,$677.25
2018,NDC, 11 ,538850912,NA,NA,BLOOD GLUCOSE MONITORING SUPPLIES,ONETOUCH ULTRA MINI,Brand,Miscellaneous Products,LIFESCAN INC,KIT,W/DEVICE,NA,Minnesota Health Care Programs, 11 ,$175.78,$15.98,$15.98,$0.58,$15.98, 11 , 30.0 , 27.4 , 8.7 , 1.0 , 1.0 , -   ,$15.99,$15.93,$0.24,$175.18,$0.00,$0.00,$0.00,$0.00,$15.99,$15.98,$0.25,$175.78
2018,NDC, 11 ,561511490,NA,NA,BLOOD GLUCOSE MONITORING SUPPLIES,TRUE METRIX AIR GLUCOSE METER,Brand,Miscellaneous Products,TRIVIDIA HEALTH,KIT,W/DEVICE,NA,Minnesota Health Care Programs, 11 ,$209.36,$19.03,$19.03,$1.00,$19.03, 11 , 28.0 , 19.1 , 14.4 , 1.0 , 1.0 , -   ,$19.36,$17.80,$4.55,$195.83,$0.00,$0.00,$0.00,$0.00,$19.36,$19.03,$0.63,$209.36
2018,NDC, 11 ,657020102,NA,NA,BLOOD GLUCOSE MONITORING SUPPLIES,ACCU-CHEK AVIVA,Brand,Miscellaneous Products,ROCHE DIAGNOSTICS,DEVICE,NA,NA,Medicare, 11 ,$302.57,$27.51,$27.51,$1.94,$25.21, 11 , 1.0 , 14.2 , 15.1 , 1.0 , 1.1 , 0.3 ,$25.10,$24.33,$2.18,$267.62,$0.00,$0.91,$2.02,$10.00,$25.10,$27.51,$7.44,$302.57
2018,NDC, 11 ,621750458,62175-458,2016,"BUPRENORPHINE HCL,NALOXONE HCL DIHYDRATE",BUPRENORPHINE HCL-NALOXONE HCL,Generic,Analgesics and Anesthetics,KREMERS URBAN,TABLET SUBLINGUAL,8-2,MG,Minnesota Health Care Programs, 11 ,"$2,323.68",$211.24,$211.24,$9.11,$3.89, 11 , 30.0 , 23.2 , 9.3 , 60.0 , 54.4 , 27.4 ,$251.20,$210.47,$126.80,"$2,315.15",$0.00,$0.73,$1.79,$8.00,$251.73,$211.24,$127.17,"$2,323.68"
2018,NDC, 11 ,597460758,59746-758,2017,BUPROPION HCL,BUPROPION HCL ER (XL),Generic,Central Nervous System Drugs,CADISTA,TABLET EXTENDED RELEASE 24 HOUR,150,MG,Medicare, 11 ,$888.86,$80.81,$80.81,$1.33,$0.93, 11 , 90.0 , 60.9 , 33.9 , 90.0 , 87.3 , 66.3 ,$64.30,$60.34,$47.11,$663.74,$1.25,$18.64,$27.86,$205.03,$77.38,$80.81,$53.10,$888.86
2018,NDC, 11 ,510790994,51079-994,2002,BUSPIRONE HCL,BUSPIRONE HCL,Generic,Central Nervous System Drugs,MYLAN INSTITUTIONAL,TABLET,30,MG,Minnesota Health Care Programs, 11 ,$309.38,$28.13,$28.13,$1.03,$0.48, 11 , 30.0 , 27.4 , 5.1 , 60.0 , 58.6 , 19.7 ,$29.80,$27.88,$13.97,$306.68,$0.00,$0.18,$0.40,$2.00,$29.80,$28.13,$13.97,$309.38
2018,NDC, 11 ,658620083,65862-083,2013,CEFADROXIL,CEFADROXIL,Generic,Anti-Infective Agents,AUROBINDO PHARMA,SUSPENSION RECONSTITUTED,250,MG/5ML,Minnesota Health Care Programs, 11 ,$456.51,$41.50,$41.50,$4.66,$0.29, 11 , 10.0 , 8.9 , 1.5 , 100.0 , 145.5 , 52.2 ,$37.36,$41.50,$15.98,$456.51,$0.00,$0.00,$0.00,$0.00,$37.36,$41.50,$15.98,$456.51
2018,NDC, 11 ,422910219,42291-219,2014,CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,Generic,Anti-Infective Agents,AVKARE,TABLET,250,MG,Medicare, 11 ,$80.25,$7.30,$7.30,$0.96,$0.51, 11 , 6.0 , 7.6 , 7.6 , 12.0 , 14.3 , 9.1 ,$6.91,$5.57,$4.76,$61.32,$0.00,$1.72,$2.61,$18.93,$6.91,$7.30,$3.31,$80.25
2018,NDC, 11 ,004720220,0472-0220,2003,CLOTRIMAZOLE VAGINAL,CLOTRIMAZOLE,Brand,Genitourinary Products,ACTAVIS MID ATLANTIC,CREAM,1,%,Medicare, 11 ,$104.41,$9.49,$9.49,$0.76,$0.21, 11 , 14.0 , 12.5 , 6.9 , 45.0 , 45.0 , -   ,$7.55,$8.31,$4.43,$91.42,$0.00,$1.18,$3.92,$12.99,$7.55,$9.49,$3.66,$104.41
2018,NDC, 11 ,541620200,54162-200,2015,COAL TAR EXTRACT,PC-TAR,Generic,Topical Products,GERITREX CORPORATION,SHAMPOO,1,%,Minnesota Health Care Programs, 11 ,$65.01,$5.91,$5.91,$0.23,$0.03, 11 , 30.0 , 25.3 , 6.5 , 180.0 , 173.5 , 18.8 ,$5.86,$5.64,$0.51,$62.01,$0.00,$0.27,$0.47,$3.00,$6.01,$5.91,$0.33,$65.01
2018,NDC, 11 ,174780096,17478-096,2015,CYCLOPENTOLATE HCL,CYCLOPENTOLATE HCL,Generic,Topical Products,AKORN,SOLUTION,0.5,%,Commercial, 11 ,$650.66,$59.15,$59.15,$0.95,$3.94, 11 , 90.0 , 62.0 , 34.9 , 15.0 , 15.0 , -   ,$27.60,$24.52,$21.42,$269.74,$30.00,$34.63,$20.32,$380.92,$57.13,$59.15,$4.40,$650.66
2018,NDC, 11 ,707101121,70710-1121,2018,DOXYCYCLINE (MONOHYDRATE),DOXYCYCLINE MONOHYDRATE,Generic,Anti-Infective Agents,ZYDUS PHARMACEUTICALS (USA),TABLET,50,MG,Commercial, 11 ,$496.84,$45.17,$45.17,$0.79,$0.49, 11 , 50.0 , 57.3 , 32.6 , 90.0 , 92.3 , 93.1 ,$23.69,$27.03,$25.39,$297.35,$14.18,$18.14,$14.34,$199.49,$41.31,$45.17,$28.77,$496.84
2018,NDC, 11 ,003780148,0378-0148,2014,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,Generic,Anti-Infective Agents,MYLAN,CAPSULE,100,MG,Commercial, 11 ,$196.24,$17.84,$17.84,$1.56,$0.81, 11 , 10.0 , 11.5 , 6.5 , 20.0 , 22.0 , 8.1 ,$0.89,$7.23,$14.38,$79.50,$12.00,$10.61,$8.78,$116.74,$15.48,$17.84,$13.13,$196.24
2018,NDC, 11 ,009046597,0904-6597,2008,DRONABINOL,DRONABINOL,Generic,Gastrointestinal Products,MAJOR PHARMACEUTICALS,CAPSULE,2.5,MG,Medicare, 11 ,"$1,253.60",$113.96,$113.96,$5.36,$3.06, 11 , 30.0 , 21.3 , 10.7 , 30.0 , 37.3 , 18.5 ,$60.18,$71.02,$33.80,$781.22,$44.54,$42.94,$36.87,$472.38,$94.60,$113.96,$63.63,"$1,253.60"
2018,NDC, 11 ,009045797,0904-5797,2008,FUROSEMIDE,FUROSEMIDE,Generic,Cardiovascular Agents,MAJOR PHARMACEUTICALS,TABLET,40,MG,Medicare, 11 ,$52.64,$4.79,$4.79,$0.11,$0.12, 11 , 30.0 , 44.2 , 33.4 , 30.0 , 40.3 , 36.8 ,$0.00,$1.47,$3.08,$16.18,$3.93,$3.31,$2.00,$36.46,$5.00,$4.79,$1.81,$52.64
2018,NDC, 11 ,637390486,63739-486,2009,HYDROXYZINE HCL,HYDROXYZINE HCL,Generic,Central Nervous System Drugs,SKY PACKAGING,TABLET,25,MG,Minnesota Health Care Programs, 11 ,$64.90,$5.90,$5.90,$0.52,$0.15, 11 , 10.0 , 11.4 , 7.4 , 30.0 , 40.5 , 14.7 ,$4.69,$5.63,$4.09,$61.90,$0.00,$0.27,$0.47,$3.00,$4.69,$5.90,$4.00,$64.90
2018,NDC, 11 ,682200113,68220-113,2008,HYOSCYAMINE SULFATE,LEVSIN/SL,Brand,Gastrointestinal Products,MYLAN SPECIALTY L.P.,TABLET SUBLINGUAL,0.125,MG,Commercial, 11 ,$837.10,$76.10,$76.10,$3.77,$1.66, 11 , 30.0 , 20.2 , 11.7 , 30.0 , 45.9 , 27.8 ,$33.67,$58.21,$77.79,$640.26,$15.81,$17.89,$16.60,$196.84,$40.00,$76.10,$77.18,$837.10
2018,NDC, 11 ,004722002,0472-2002,2018,IBUPROFEN,IBUPROFEN,Generic,Analgesics and Anesthetics,ACTAVIS MID ATLANTIC,SUSPENSION,100,MG/5ML,Medicare, 11 ,$286.97,$26.09,$26.09,$2.30,$0.04, 11 , 9.0 , 11.4 , 10.5 , 473.0 , 580.3 , 309.5 ,$20.32,$25.00,$12.58,$274.97,$0.00,$1.09,$3.62,$12.00,$22.41,$26.09,$12.23,$286.97
2018,NDC, 11 ,372050660,37205-660,2002,IBUPROFEN,IBUPROFEN CHILDRENS,Generic,Analgesics and Anesthetics,LEADER BRAND PRODUCTS,SUSPENSION,100,MG/5ML,Minnesota Health Care Programs, 11 ,$57.80,$5.25,$5.25,$0.73,$0.04, 11 , 5.0 , 7.2 , 7.7 , 120.0 , 120.0 , -   ,$4.69,$5.25,$0.97,$57.80,$0.00,$0.00,$0.00,$0.00,$4.69,$5.25,$0.97,$57.80
2018,NDC, 11 ,422910338,42291-338,2013,IBUPROFEN,IBUPROFEN,Generic,Analgesics and Anesthetics,AVKARE,TABLET,600,MG,Minnesota Health Care Programs, 11 ,$38.60,$3.51,$3.51,$0.35,$0.09, 11 , 8.0 , 10.1 , 6.1 , 30.0 , 39.5 , 23.6 ,$3.22,$2.90,$1.88,$31.95,$0.00,$0.60,$0.84,$6.65,$3.22,$3.51,$1.45,$38.60
2018,NDC, 11 ,501020230,50102-230,2016,"LEVONORGESTREL, ETH ESTRADIOL",CHATEAL EQ,Generic,Endocrine and Metabolic Drugs,AFAXYS,TABLET,0.15-30,MG-MCG,Minnesota Health Care Programs, 11 ,$345.27,$31.39,$31.39,$0.39,$0.35, 11 , 84.0 , 81.5 , 8.4 , 84.0 , 89.1 , 16.9 ,$29.29,$31.39,$8.42,$345.27,$0.00,$0.00,$0.00,$0.00,$29.29,$31.39,$8.42,$345.27
2018,NDC, 11 ,692381838,69238-1838,2003,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,Generic,Endocrine and Metabolic Drugs,AMNEAL PHARMACEUTICALS,TABLET,150,MCG,Commercial, 11 ,$360.37,$32.76,$32.76,$0.43,$0.45, 11 , 90.0 , 76.9 , 29.3 , 90.0 , 73.5 , 30.0 ,$0.00,$5.19,$8.29,$57.10,$30.00,$27.57,$16.35,$303.27,$43.93,$32.76,$14.96,$360.37
2018,NDC, 11 ,551500162,55150-162,2013,LIDOCAINE HCL (LOCAL ANESTH.),LIDOCAINE HCL (PF),Generic,Analgesics and Anesthetics,AUROMEDICS PHARMA,SOLUTION,1,%,Minnesota Health Care Programs, 11 ,$89.50,$8.14,$8.14,$4.97,$0.83, 11 , 1.0 , 1.6 , 1.3 , 10.0 , 9.8 , 6.9 ,$6.16,$7.09,$3.07,$78.02,$0.00,$0.09,$0.30,$1.00,$8.67,$8.14,$3.70,$89.50
2018,NDC, 11 ,638680935,63868-935,2014,MAGNESIUM CITRATE,QC MAGNESIUM CITRATE,Brand,Gastrointestinal Products,CHAIN DRUG MARKETING ASSOC,SOLUTION,1.745,GM/30ML,Medicare, 11 ,$16.35,$1.49,$1.49,$0.82,$0.00, 11 , 1.0 , 1.8 , 1.8 , 296.0 , 322.9 , 89.2 ,$1.17,$1.49,$0.92,$16.35,$0.00,$0.00,$0.00,$0.00,$1.17,$1.49,$0.92,$16.35
2018,NDC, 11 ,411630396,41163-396,2004,MAGNESIUM HYDROXIDE,EQL MILK OF MAGNESIA,Brand,Gastrointestinal Products,EQUALINE,SUSPENSION,400,MG/5ML,Minnesota Health Care Programs, 11 ,$29.66,$2.70,$2.70,$0.30,$0.01, 11 , 7.0 , 9.0 , 5.6 , 355.0 , 341.6 , 158.3 ,$2.05,$2.03,$1.28,$22.32,$0.00,$0.67,$1.07,$7.34,$2.67,$2.70,$0.73,$29.66
2018,NDC, 11 ,648960669,64896-669,2016,MEBENDAZOLE,EMVERM,Brand,Anti-Infective Agents,AMNEAL SPECIALTY,TABLET CHEWABLE,100,MG,Medicare, 11 ,"$17,897.62","$1,627.06","$1,627.06",$190.40,$406.76, 11 , 4.0 , 8.5 , 9.5 , 2.0 , 4.0 , 3.1 ,$824.34,"$1,582.84","$1,243.83","$17,411.21",$1.25,$39.84,$69.46,$438.27,$827.69,"$1,627.06","$1,208.83","$17,897.62"
2018,NDC, 11 ,167140830,16714-830,2018,MESALAMINE,MESALAMINE,Generic,Gastrointestinal Products,NORTHSTAR RX,TABLET DELAYED RELEASE,1.2,GM,Medicare, 11 ,"$7,631.55",$693.78,$693.78,$14.13,$5.53, 11 , 30.0 , 49.1 , 27.7 , 90.0 , 125.5 , 89.8 ,$339.46,$502.15,$309.56,"$5,523.60",$144.39,$190.16,$235.97,"$2,091.77",$606.18,$693.78,$461.25,"$7,631.55"
2018,NDC, 11 ,680010361,68001-361,2018,MONTELUKAST SODIUM,MONTELUKAST SODIUM,Generic,Respiratory Agents,BLUE POINT LABORATORIES,TABLET,10,MG,Commercial, 11 ,$151.88,$13.81,$13.81,$0.30,$0.28, 11 , 30.0 , 46.4 , 28.0 , 30.0 , 49.1 , 27.7 ,$4.98,$6.56,$5.91,$72.14,$5.00,$5.56,$5.28,$61.15,$10.74,$13.81,$9.10,$151.88
2018,NDC, 11 ,700690071,70069-071,2017,NALOXONE HCL,NALOXONE HCL,Generic,Miscellaneous Products,SOMERSET THERAPEUTICS,SOLUTION,0.4,MG/ML,Medicare, 11 ,$363.30,$33.03,$33.03,$6.61,$12.98, 11 , 2.0 , 5.0 , 8.7 , 2.0 , 2.5 , 2.6 ,$14.25,$23.04,$19.80,$253.39,$1.25,$7.40,$17.86,$81.41,$20.12,$33.03,$37.25,$363.30
2018,NDC, 11 ,169580461,NA,NA,NEBULIZERS,DEVILBISS PULMO-AIDE,Brand,Miscellaneous Products,DEVILBISS HEALTHCARE,DEVICE,NA,NA,Minnesota Health Care Programs, 11 ,$822.28,$74.75,$74.75,$74.75,$74.75, 11 , 1.0 , 1.0 , -   , 1.0 , 1.0 , -   ,$74.83,$74.48,$0.92,$819.28,$0.00,$0.27,$0.90,$3.00,$74.83,$74.75,$0.26,$822.28
2018,NDC, 11 ,167140819,16714-819,2018,OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE,Generic,Anti-Infective Agents,NORTHSTAR RX,CAPSULE,75,MG,Minnesota Health Care Programs, 11 ,$759.13,$69.01,$69.01,$10.12,$6.90, 11 , 5.0 , 6.8 , 2.5 , 10.0 , 10.0 , -   ,$44.13,$57.04,$34.56,$627.43,$0.00,$0.54,$0.67,$5.90,$65.89,$69.01,$23.46,$759.13
2018,NDC, 11 ,643800799,64380-799,2018,OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE,Generic,Anti-Infective Agents,STRIDES PHARMA,CAPSULE,75,MG,Minnesota Health Care Programs, 11 ,$811.33,$73.76,$73.76,$13.09,$7.58, 11 , 5.0 , 5.6 , 1.6 , 10.0 , 9.7 , 0.9 ,$81.90,$72.80,$22.76,$800.78,$0.00,$0.91,$1.76,$10.00,$81.90,$73.76,$23.47,$811.33
2018,NDC, 11 ,493480893,49348-893,2009,POLYETHYLENE GLYCOL 3350,SM CLEARLAX,Generic,Gastrointestinal Products,MCKESSON SUNMARK,POWDER,17,GM/SCOOP,Commercial, 11 ,$45.35,$4.12,$4.12,$0.46,$0.03, 11 , 7.0 , 9.0 , 9.1 , 119.0 , 129.8 , 35.9 ,$0.00,$2.16,$2.60,$23.79,$2.52,$1.96,$1.83,$21.56,$4.56,$4.12,$1.32,$45.35
2018,NDC, 11 ,000936118,0093-6118,1998,PREDNISOLONE,PREDNISOLONE,Generic,Endocrine and Metabolic Drugs,TEVA PHARMACEUTICALS USA,SOLUTION,15,MG/5ML,Commercial, 11 ,$216.55,$19.69,$19.69,$2.06,$0.12, 11 , 5.0 , 9.5 , 9.0 , 50.0 , 159.3 , 196.7 ,$0.00,$12.42,$24.96,$136.65,$4.34,$7.26,$6.32,$79.90,$10.76,$19.69,$24.71,$216.55
2018,NDC, 11 ,586570170,58657-170,2018,"PRENATAL VIT W/ FERROUS FUMARATE,FOLIC ACID",M-NATAL PLUS,Brand,Nutritional Products,METHOD PHARMACEUTICALS,TABLET,27-1,MG,Minnesota Health Care Programs, 11 ,$53.04,$4.82,$4.82,$0.16,$0.16, 11 , 30.0 , 30.0 , -   , 30.0 , 30.0 , -   ,$5.79,$4.01,$2.71,$44.07,$0.00,$0.82,$1.93,$8.97,$5.87,$4.82,$2.38,$53.04
2018,NDC, 11 ,510790542,51079-542,1997,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,Generic,Central Nervous System Drugs,MYLAN INSTITUTIONAL,TABLET,10,MG,Medicare, 11 ,$110.89,$10.08,$10.08,$0.66,$0.23, 11 , 8.0 , 15.4 , 26.0 , 30.0 , 44.3 , 55.4 ,$3.17,$6.52,$9.82,$71.68,$1.72,$3.54,$3.55,$38.94,$6.13,$10.08,$11.04,$110.89
2018,NDC, 11 ,083732456,NA,NA,RESPIRATORY THERAPY SUPPLIES,SAMI THE SEAL NEBULIZER SYSTEM,Brand,Miscellaneous Products,RESPIRONICS,KIT,NA,NA,Commercial, 11 ,$385.57,$35.05,$35.05,$1.73,$35.05, 11 , 30.0 , 20.3 , 13.7 , 1.0 , 1.0 , -   ,$0.00,$5.83,$10.45,$64.13,$33.70,$29.22,$11.01,$321.44,$34.37,$35.05,$1.97,$385.57
2018,NDC, 11 ,597790182,59779-182,2010,SENNOSIDES,SENNA LAXATIVE,Brand,NA,.,TABLET,8.6,MG/1,Medicare, 11 ,$34.58,$3.14,$3.14,$0.08,$0.04, 11 , 30.0 , 37.3 , 19.7 , 60.0 , 78.2 , 39.2 ,$2.78,$3.14,$1.42,$34.58,$0.00,$0.00,$0.00,$0.00,$2.78,$3.14,$1.42,$34.58
2018,NDC, 11 ,043510797,NA,NA,"SPACER/AEROSOL,HOLDING CHAMBERS",AEROCHAMBER Z-STAT PLUS,Brand,Miscellaneous Products,MONAGHAN MEDICAL CORPORATION,MISCELLANEOUS,NA,NA,Commercial, 11 ,$94.68,$8.61,$8.61,$0.36,$7.89, 11 , 30.0 , 23.7 , 11.7 , 1.0 , 1.1 , 0.3 ,$5.71,$5.68,$3.37,$62.44,$1.90,$2.93,$3.07,$32.24,$8.33,$8.61,$2.30,$94.68
2018,NDC, 11 ,637390943,63739-943,1996,SUCRALFATE,SUCRALFATE,Generic,Gastrointestinal Products,SKY PACKAGING,TABLET,1,GM,Minnesota Health Care Programs, 11 ,$127.94,$11.63,$11.63,$0.77,$0.27, 11 , 10.0 , 15.2 , 10.6 , 40.0 , 42.7 , 30.2 ,$9.29,$10.81,$8.21,$118.88,$0.00,$0.82,$1.78,$9.00,$9.92,$11.63,$7.93,$127.94
2018,NDC, 11 ,421920136,42192-136,2012,"SULFACETAMIDE SODIUM, SULFUR",SULFACETAMIDE SODIUM-SULFUR,Generic,Topical Products,ACELLA PHARMACEUTICALS,EMULSION,10-5,%,Medicare, 11 ,"$1,074.34",$97.67,$97.67,$2.39,$0.33, 11 , 30.0 , 40.9 , 24.7 , 340.0 , 293.5 , 79.3 ,$0.00,$8.25,$27.37,$90.76,$116.35,$89.42,$40.03,$983.58,$116.35,$97.67,$30.16,"$1,074.34"
2018,NDC, 11 ,492810215,49281-215,2010,"TETANUS,DIPHTHERIA TOXOIDS (TD)",TENIVAC,Brand,Biologicals,SANOFI PASTEUR,INJECTABLE,5-2,LFU,Minnesota Health Care Programs, 11 ,$433.10,$39.37,$39.37,$39.37,$41.25, 11 , 1.0 , 1.0 , -   , 1.0 , 1.0 , 0.2 ,$33.76,$38.50,$8.56,$423.46,$0.00,$0.82,$1.40,$9.00,$33.76,$39.37,$8.68,$433.10
2018,NDC, 12 ,005361111,0536-1111,2016,ACETAMINOPHEN,PAIN & FEVER INFANTS,Generic,Analgesics and Anesthetics,RUGBY LABORATORIES,SUSPENSION,160,MG/5ML,Minnesota Health Care Programs, 12 ,$44.91,$3.74,$3.74,$0.86,$0.04, 12 , 4.5 , 4.3 , 1.9 , 59.5 , 88.8 , 39.9 ,$3.84,$3.74,$1.37,$44.91,$0.00,$0.00,$0.00,$0.00,$3.84,$3.74,$1.37,$44.91
2018,NDC, 12 ,009046766,0904-6766,2018,ACETAMINOPHEN,ACETAMINOPHEN CHILDRENS,Generic,Analgesics and Anesthetics,MAJOR PHARMACEUTICALS,SUSPENSION,160,MG/5ML,Minnesota Health Care Programs, 11 ,$38.45,$3.50,$3.20,$0.62,$0.02, 12 , 5.0 , 5.2 , 2.2 , 118.0 , 147.5 , 53.4 ,$2.93,$3.20,$0.99,$38.45,$0.00,$0.00,$0.00,$0.00,$2.93,$3.20,$0.99,$38.45
